pyruvate	6.0	4.0	3.0	5.0	2.0	3.0	4.0	3.0	3.0	7.0	3.0	8.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	2.0	6.0	0	6.0	4.0	4.0	5.0	4.0	3.0	1.0	4.0	4.0	3.0	4.0	6.0	4.0	4.0	4.0	3.0	3.0	5.0	3.0	7.0	4.0	3.0	3.0	4.0	3.0	1.0	4.0	5.0	4.0	2.0	5.0	3.0	2.0	3.0	3.0	3.0	1.0	1.0	4
D-gluconate	11.0	9.0	9.0	5.0	8.0	9.0	9.0	7.0	9.0	4.0	9.0	8.0	9.0	9.0	10.0	9.0	9.0	9.0	9.0	7.0	8.0	6.0	0	9.0	9.0	7.0	9.0	8.0	7.0	9.0	9.0	8.0	9.0	10.0	9.0	9.0	5.0	9.0	9.0	8.0	8.0	9.0	8.0	9.0	8.0	7.0	9.0	7.0	10.0	10.0	9.0	7.0	6.0	9.0	7.0	9.0	9.0	7.0	7.0	7.0	7
L-phenylalanine	4.0	7.0	6.0	8.0	5.0	6.0	3.0	6.0	6.0	9.0	6.0	11.0	4.0	5.0	6.0	5.0	6.0	3.0	2.0	5.0	8.0	4.0	9.0	0	5.0	6.0	6.0	5.0	5.0	7.0	7.0	5.0	6.0	6.0	4.0	7.0	6.0	5.0	6.0	5.0	6.0	9.0	5.0	6.0	4.0	7.0	6.0	5.0	7.0	6.0	5.0	2.0	7.0	6.0	4.0	1.0	6.0	5.0	5.0	3.0	6
deoxycholate	9.0	5.0	4.0	7.0	4.0	4.0	4.0	5.0	4.0	8.0	4.0	12.0	5.0	5.0	5.0	4.0	6.0	7.0	5.0	4.0	7.0	4.0	9.0	5.0	0	5.0	5.0	4.0	5.0	4.0	4.0	6.0	5.0	7.0	5.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	4.0	5.0	6.0	4.0	5.0	6.0	5.0	4.0	3.0	7.0	4.0	5.0	6.0	4.0	4.0	5.0	4.0	6
2-Arachidonoylglycerol	10.0	6.0	5.0	6.0	5.0	5.0	5.0	6.0	4.0	5.0	5.0	9.0	6.0	6.0	6.0	5.0	7.0	8.0	6.0	5.0	8.0	5.0	7.0	6.0	5.0	0	6.0	5.0	6.0	5.0	5.0	7.0	6.0	8.0	6.0	5.0	6.0	7.0	5.0	7.0	5.0	9.0	1.0	5.0	5.0	3.0	5.0	6.0	7.0	6.0	5.0	4.0	7.0	5.0	6.0	7.0	5.0	5.0	4.0	5.0	6
L-threonine	9.0	5.0	5.0	8.0	4.0	5.0	5.0	6.0	5.0	8.0	5.0	12.0	6.0	4.0	6.0	5.0	6.0	6.0	6.0	5.0	8.0	4.0	9.0	6.0	5.0	6.0	0	1.0	5.0	5.0	5.0	6.0	2.0	8.0	5.0	4.0	5.0	6.0	5.0	7.0	4.0	9.0	5.0	5.0	3.0	7.0	5.0	5.0	6.0	6.0	5.0	4.0	8.0	5.0	5.0	6.0	5.0	5.0	5.0	4.0	7
2-Oxobutanoate	8.0	4.0	4.0	7.0	3.0	4.0	4.0	5.0	4.0	7.0	4.0	11.0	5.0	3.0	5.0	4.0	5.0	5.0	5.0	4.0	7.0	3.0	8.0	5.0	4.0	5.0	1.0	0	4.0	4.0	4.0	5.0	1.0	7.0	4.0	3.0	4.0	5.0	4.0	6.0	3.0	8.0	4.0	4.0	2.0	6.0	4.0	4.0	5.0	5.0	4.0	3.0	7.0	4.0	4.0	5.0	4.0	4.0	4.0	3.0	6
(S)-lactate	7.0	5.0	4.0	6.0	3.0	4.0	5.0	4.0	4.0	8.0	4.0	9.0	5.0	5.0	6.0	5.0	5.0	4.0	5.0	3.0	7.0	1.0	7.0	5.0	5.0	6.0	5.0	4.0	0	5.0	5.0	4.0	5.0	7.0	5.0	5.0	5.0	4.0	4.0	6.0	4.0	8.0	5.0	4.0	4.0	5.0	4.0	2.0	5.0	6.0	5.0	3.0	6.0	4.0	3.0	4.0	4.0	4.0	2.0	2.0	5
clupanodonic acid	9.0	5.0	4.0	7.0	4.0	4.0	4.0	5.0	4.0	8.0	4.0	12.0	7.0	5.0	5.0	4.0	6.0	7.0	5.0	4.0	7.0	4.0	9.0	7.0	4.0	5.0	5.0	4.0	5.0	0	4.0	6.0	5.0	8.0	7.0	4.0	5.0	6.0	4.0	7.0	4.0	8.0	4.0	4.0	5.0	6.0	4.0	5.0	6.0	5.0	4.0	5.0	7.0	4.0	6.0	7.0	4.0	4.0	5.0	5.0	6
palmitoleate	9.0	5.0	3.0	7.0	4.0	4.0	4.0	5.0	4.0	8.0	4.0	12.0	7.0	5.0	5.0	4.0	6.0	7.0	5.0	4.0	7.0	4.0	9.0	7.0	4.0	5.0	5.0	4.0	5.0	4.0	0	6.0	5.0	8.0	7.0	4.0	5.0	6.0	4.0	7.0	4.0	8.0	4.0	4.0	5.0	6.0	4.0	5.0	6.0	5.0	4.0	5.0	7.0	4.0	6.0	7.0	4.0	4.0	5.0	5.0	6
