5-Methylthioadenosine	148.0	113.0	224.0	146.0	132.0	209.0	96.0	178.0	146.0	290.0	146.0	420.0	121.0	538.0	196.0	121.0	467.0	114.0	522.0	214.0	210.0	146.0	224.0	143.0	0	128.0	147.0	1057.0	145.0	108.0	337.0	96.0	162.0	201.0	384.0	267.0	146.0	323.0	162.0	232.0	145.0	132.0	224.0	236.0	76.0
Porphobilinogen	84.0	112.0	208.0	82.0	68.0	178.0	48.0	114.0	100.0	226.0	82.0	356.0	57.0	489.0	132.0	57.0	404.0	98.0	473.0	150.0	146.0	130.0	160.0	79.0	128.0	0	83.0	1041.0	144.0	44.0	336.0	48.0	98.0	169.0	320.0	203.0	130.0	320.0	98.0	184.0	144.0	116.0	178.0	172.0	60.0
L-glutamine	85.0	123.0	193.0	81.0	87.0	161.0	67.0	133.0	119.0	225.0	65.0	375.0	76.0	508.0	151.0	76.0	387.0	83.0	492.0	169.0	145.0	115.0	161.0	4.0	147.0	83.0	0	1026.0	155.0	63.0	337.0	67.0	97.0	188.0	339.0	186.0	115.0	333.0	97.0	203.0	155.0	101.0	197.0	155.0	79.0
phosphatidylserine	1045.0	1073.0	1089.0	1033.0	1045.0	1121.0	1013.0	1091.0	1043.0	1177.0	1025.0	1285.0	1034.0	1466.0	1109.0	1034.0	1347.0	979.0	1450.0	1127.0	1097.0	1011.0	1121.0	1022.0	1057.0	1041.0	1026.0	0	1097.0	1021.0	1289.0	1013.0	1049.0	1114.0	1249.0	1146.0	1011.0	1283.0	1049.0	1149.0	1097.0	997.0	1121.0	1115.0	1005.0
N-Acetylmethionine	164.0	96.0	264.0	162.0	148.0	192.0	128.0	178.0	172.0	306.0	154.0	436.0	137.0	521.0	212.0	137.0	450.0	154.0	505.0	230.0	226.0	186.0	240.0	151.0	145.0	144.0	155.0	1097.0	0	124.0	320.0	128.0	178.0	249.0	400.0	275.0	168.0	306.0	178.0	264.0	128.0	172.0	250.0	244.0	140.0
L-threonate	64.0	92.0	188.0	62.0	48.0	158.0	28.0	94.0	80.0	206.0	62.0	336.0	37.0	469.0	112.0	37.0	384.0	78.0	453.0	130.0	126.0	110.0	140.0	59.0	108.0	44.0	63.0	1021.0	124.0	0	316.0	28.0	78.0	149.0	300.0	183.0	110.0	300.0	78.0	164.0	124.0	96.0	158.0	152.0	40.0
O-acetylcarnitine	272.0	288.0	456.0	256.0	340.0	384.0	320.0	370.0	356.0	400.0	346.0	628.0	329.0	713.0	404.0	329.0	642.0	346.0	697.0	356.0	320.0	378.0	432.0	333.0	337.0	336.0	337.0	1289.0	320.0	316.0	0	320.0	272.0	441.0	592.0	467.0	352.0	498.0	272.0	456.0	320.0	364.0	434.0	436.0	332.0
N-benzoylglycinate	68.0	96.0	180.0	66.0	52.0	162.0	16.0	98.0	74.0	210.0	66.0	340.0	41.0	473.0	116.0	41.0	388.0	70.0	457.0	134.0	130.0	102.0	144.0	63.0	96.0	48.0	67.0	1013.0	128.0	28.0	320.0	0	82.0	137.0	304.0	187.0	102.0	304.0	82.0	152.0	128.0	88.0	152.0	156.0	28.0
isovalvaleryl carnitine	32.0	146.0	216.0	16.0	102.0	210.0	82.0	148.0	116.0	160.0	114.0	390.0	91.0	523.0	166.0	91.0	436.0	106.0	507.0	116.0	80.0	138.0	194.0	93.0	162.0	98.0	97.0	1049.0	178.0	78.0	272.0	82.0	0	203.0	354.0	235.0	80.0	354.0	32.0	218.0	178.0	124.0	194.0	204.0	94.0
L-tyrosine	189.0	217.0	281.0	187.0	173.0	283.0	137.0	219.0	195.0	331.0	187.0	461.0	162.0	594.0	237.0	162.0	509.0	171.0	578.0	255.0	251.0	203.0	265.0	184.0	201.0	169.0	188.0	1114.0	249.0	149.0	441.0	137.0	203.0	0	425.0	308.0	203.0	425.0	203.0	273.0	249.0	189.0	273.0	277.0	133.0
Xanthine	340.0	368.0	416.0	338.0	324.0	434.0	304.0	370.0	356.0	482.0	338.0	612.0	313.0	745.0	388.0	313.0	660.0	306.0	729.0	406.0	402.0	338.0	416.0	335.0	384.0	320.0	339.0	1249.0	400.0	300.0	592.0	304.0	354.0	425.0	0	459.0	338.0	576.0	354.0	440.0	400.0	324.0	434.0	428.0	316.0
N-acetylneuraminate	223.0	243.0	313.0	219.0	207.0	242.0	187.0	253.0	239.0	363.0	185.0	495.0	196.0	628.0	271.0	196.0	507.0	203.0	612.0	289.0	283.0	235.0	281.0	182.0	267.0	203.0	186.0	1146.0	275.0	183.0	467.0	187.0	235.0	308.0	459.0	0	235.0	453.0	235.0	323.0	275.0	221.0	317.0	275.0	199.0
L-phenylalanine	112.0	136.0	178.0	96.0	134.0	210.0	102.0	180.0	132.0	240.0	114.0	374.0	123.0	555.0	198.0	123.0	436.0	68.0	539.0	196.0	160.0	100.0	210.0	111.0	146.0	130.0	115.0	1011.0	168.0	110.0	352.0	102.0	80.0	203.0	338.0	235.0	0	346.0	112.0	232.0	168.0	86.0	210.0	204.0	94.0
choline	340.0	274.0	450.0	338.0	324.0	370.0	304.0	356.0	350.0	482.0	332.0	612.0	313.0	699.0	388.0	313.0	628.0	340.0	683.0	406.0	402.0	372.0	416.0	329.0	323.0	320.0	333.0	1283.0	306.0	300.0	498.0	304.0	354.0	425.0	576.0	453.0	346.0	0	354.0	440.0	306.0	358.0	428.0	422.0	316.0
tiglyl carnitine	32.0	146.0	216.0	16.0	102.0	210.0	82.0	148.0	116.0	160.0	114.0	390.0	91.0	523.0	166.0	91.0	436.0	106.0	507.0	116.0	80.0	138.0	194.0	93.0	162.0	98.0	97.0	1049.0	178.0	78.0	272.0	82.0	32.0	203.0	354.0	235.0	112.0	354.0	0	218.0	178.0	124.0	194.0	204.0	94.0
creatine	204.0	232.0	316.0	202.0	188.0	298.0	152.0	234.0	210.0	346.0	202.0	476.0	177.0	609.0	252.0	177.0	524.0	206.0	593.0	270.0	266.0	238.0	280.0	199.0	232.0	184.0	203.0	1149.0	264.0	164.0	456.0	152.0	218.0	273.0	440.0	323.0	232.0	440.0	218.0	0	264.0	224.0	288.0	122.0	164.0
N-acetyl-L-alanine	164.0	96.0	264.0	162.0	148.0	192.0	128.0	178.0	172.0	306.0	154.0	436.0	137.0	521.0	212.0	137.0	450.0	154.0	505.0	230.0	226.0	186.0	240.0	151.0	145.0	144.0	155.0	1097.0	128.0	124.0	320.0	128.0	178.0	249.0	400.0	275.0	168.0	306.0	178.0	264.0	0	172.0	250.0	244.0	140.0
D-ribitol	120.0	148.0	164.0	108.0	120.0	196.0	88.0	149.0	118.0	252.0	100.0	360.0	109.0	541.0	184.0	109.0	422.0	54.0	525.0	202.0	172.0	86.0	196.0	97.0	132.0	116.0	101.0	997.0	172.0	96.0	364.0	88.0	124.0	189.0	324.0	221.0	86.0	358.0	124.0	224.0	172.0	0	196.0	190.0	80.0
L-tryptophan	194.0	218.0	288.0	178.0	182.0	292.0	152.0	228.0	178.0	322.0	196.0	470.0	171.0	603.0	246.0	171.0	518.0	178.0	587.0	264.0	242.0	210.0	274.0	193.0	224.0	178.0	197.0	1121.0	250.0	158.0	434.0	152.0	194.0	273.0	434.0	317.0	210.0	428.0	194.0	288.0	250.0	196.0	0	286.0	149.0
creatinine	192.0	212.0	282.0	188.0	176.0	250.0	156.0	222.0	208.0	332.0	154.0	464.0	165.0	597.0	240.0	165.0	476.0	172.0	581.0	258.0	252.0	204.0	250.0	151.0	236.0	172.0	155.0	1115.0	244.0	152.0	436.0	156.0	204.0	277.0	428.0	275.0	204.0	422.0	204.0	122.0	244.0	190.0	286.0	0	168.0
dopamine 3-O-sulfate	80.0	108.0	172.0	78.0	64.0	174.0	28.0	110.0	86.0	222.0	78.0	352.0	53.0	485.0	128.0	53.0	400.0	62.0	469.0	146.0	142.0	94.0	156.0	75.0	76.0	60.0	79.0	1005.0	140.0	40.0	332.0	28.0	94.0	133.0	316.0	199.0	94.0	316.0	94.0	164.0	140.0	80.0	149.0	168.0	0
